Tipo de identificación,ID. Cliente,Saldo de aportes,Valor aporte mensual,Saldo aportes ordinarios,Saldo aportes extraordinarios,Valor revalorización,Monto promedio año,Ultima fecha de pago
C,31081,2445040.0,13000,2445040.0,0,0,2405536,2024-08-08
C,31080,123832.0,13000,123832.0,0,0,123832,2022-03-31
C,18557,1862556.0,13000,1862556.0,0,0,1860621,2024-02-08
C,31079,26789.0,13000,26789.0,0,0,26789,2022-03-31
C,5967,9497088.0,57840,9497088.0,0,0,9319979,2024-07-31
C,31078,24080.0,13000,24080.0,0,0,24080,2022-03-31
C,10786,91218.0,13000,91218.0,0,0,91218,2023-04-25
C,31077,64284.0,13000,64284.0,0,0,64284,2022-03-31
C,31076,353569.0,13000,353569.0,0,0,312530,2024-09-23
C,31075,31285.0,13000,31285.0,0,0,31285,2022-11-23
C,42259,57449.0,13000,57449.0,0,0,57449,2022-03-31
C,23002,53103.0,13000,53103.0,0,0,53103,2022-03-31
C,31074,26927.0,13000,26927.0,0,0,26927,2022-03-31
C,45217,37605.0,13000,37605.0,0,0,37605,2022-03-31
C,23001,51877.0,13000,51877.0,0,0,51877,2022-03-31
C,23000,238928.0,13000,238928.0,0,0,238928,2022-03-31
C,18549,147489.0,13000,147489.0,0,0,147489,2022-03-31
C,22999,261195.0,13000,261195.0,0,0,261195,2022-03-31
C,31073,377087.0,13000,377087.0,0,0,287237,2024-09-30
C,53523,559596.0,13000,559596.0,0,0,559596,2022-03-31
C,36563,381733.0,13000,381733.0,0,0,351985,2024-06-30
C,18548,240221.0,13000,240221.0,0,0,240221,2022-05-24
C,27267,119801.0,13000,119801.0,0,0,119801,2022-03-31
C,45792,2047140.0,13000,2047140.0,0,0,2010150,2024-06-06
C,31072,145926.0,13000,145926.0,0,0,145926,2022-03-31
C,31071,272972.0,13000,272972.0,0,0,208684,2024-09-30
C,47659,277126.0,13000,277126.0,0,0,277126,2022-03-31
C,31070,1756089.0,13000,1756089.0,0,0,1756628,2024-06-17
C,39982,1132633.0,13000,1132633.0,0,0,1094383,2024-09-04
C,31069,113124.0,13000,113124.0,0,0,113124,2022-03-31
C,27266,406759.0,13000,406759.0,0,0,406759,2022-03-31
C,43752,265711.0,13000,265711.0,0,0,265711,2022-03-31
C,31065,601111.0,13000,601111.0,0,0,601111,2022-03-31
C,31064,21960.0,13000,21960.0,0,0,21960,2022-07-29
C,31063,553357.0,13000,553357.0,0,0,489069,2024-09-30
C,31062,1782055.0,13000,1782055.0,0,0,1713617,2024-09-30
C,31061,589242.0,13000,589242.0,0,0,589242,2022-09-28
C,13816,66224.0,13000,66224.0,0,0,66224,2022-03-31
C,33437,271687.0,13000,271687.0,0,0,209964,2024-09-30
C,18756,225498.0,13000,225498.0,0,0,220797,2024-04-02
C,6747,209939.0,13000,209939.0,0,0,180191,2024-06-30
C,18755,6910963.0,13000,6910963.0,0,0,6867485,2024-08-26
C,18754,28210.0,13000,28210.0,0,0,28210,2022-03-31
C,23405,46293.0,13000,46293.0,0,0,46293,2022-08-30
C,53004,181242.0,13000,181242.0,0,0,179184,2024-04-04
C,18753,26388.0,13000,26388.0,0,0,26388,2022-03-31
C,23404,63545.0,13000,63545.0,0,0,63545,2023-02-22
C,23403,197791.0,13000,197791.0,0,0,197791,2022-03-31
C,18752,3231458.0,13000,3231458.0,0,0,3167170,2024-09-30
C,6746,1002796.0,13000,1002796.0,0,0,951449,2024-09-10
C,6745,33932.0,13000,33932.0,0,0,33932,2022-03-31
C,33436,96624.0,13000,96624.0,0,0,96624,2022-03-31
C,23402,144028.0,13000,144028.0,0,0,144028,2022-11-23
C,1252,2946118.0,13000,2946118.0,0,0,2932047,2024-04-30
C,14359,142063.0,13000,142063.0,0,0,142063,2022-03-31
C,16761,127722.0,13000,127722.0,0,0,127722,2022-03-31
C,1185,5777674.0,20000,5777674.0,0,0,5666762,2024-09-10
C,6744,790842.0,13000,790842.0,0,0,790842,2023-06-30
C,23401,395522.0,13000,395522.0,0,0,395522,2022-03-31
C,36735,598340.0,13000,598340.0,0,0,598340,2023-04-20
C,33414,31278.0,13000,31278.0,0,0,31278,2022-03-31
C,23397,59852.0,13000,59852.0,0,0,59852,2022-03-31
C,23396,51424.0,13000,51424.0,0,0,51424,2022-03-31
C,14356,217866.0,13000,217866.0,0,0,217866,2022-07-29
C,33413,1029595.0,13000,1029595.0,0,0,1017876,2024-06-29
C,33412,470288.0,13000,470288.0,0,0,470288,2022-04-29
C,33411,26337.0,13000,26337.0,0,0,26337,2022-03-31
C,27505,136025.0,13000,136025.0,0,0,136025,2022-03-31
C,33410,12170.0,13000,12170.0,0,0,12170,2022-03-31
C,36734,287406.0,13000,287406.0,0,0,287406,2023-06-30
C,33409,94823.0,13000,94823.0,0,0,94823,2022-03-31
C,33408,758098.0,13000,758098.0,0,0,693810,2024-09-30
C,45228,130480.0,13000,130480.0,0,0,130480,2022-03-31
C,13950,32019.0,13000,32019.0,0,0,32019,2022-07-29
C,31122,26789.0,13000,26789.0,0,0,26789,2022-03-31
N,12831,389237.0,19500,389237.0,0,0,292805,2024-09-30
N,13329,356132.0,19500,356132.0,0,0,259700,2024-09-30
C,4994,569699.0,13000,569699.0,0,0,529892,2024-07-31
N,3400,267250.0,19500,267250.0,0,0,265400,2024-01-27
N,22673,340094.0,19500,340094.0,0,0,243662,2024-09-30
N,5340,518928.0,19500,518928.0,0,0,422496,2024-09-30
C,10212,5725391.0,13000,5725391.0,0,0,5680694,2024-09-07
N,5307,718920.0,19500,718920.0,0,0,622488,2024-09-30
N,4528,230379.0,19500,230379.0,0,0,133947,2024-09-30
N,26765,285679.0,19500,285679.0,0,0,189247,2024-09-30
C,10482,24884499.0,100000,24884499.0,0,0,24453118,2024-09-09
N,21518,454888.0,19500,454888.0,0,0,344019,2024-09-30
N,18187,316418.0,19500,316418.0,0,0,219986,2024-09-30
N,18286,293656.0,19500,293656.0,0,0,197224,2024-09-30
C,23072,2650999.0,50000,2650999.0,0,0,2618764,2024-08-12
C,4022,5290926.0,13000,5290926.0,0,0,5228368,2024-09-30
C,22681,113419.0,13000,113419.0,0,0,113419,2023-10-31
C,18815,802731.0,13000,802731.0,0,0,739709,2024-09-30
N,27047,729725.0,19500,729725.0,0,0,633293,2024-09-30
N,12796,579126.0,19500,579126.0,0,0,475225,2024-09-30
N,21491,468805.0,19500,468805.0,0,0,372373,2024-09-30
N,21521,551464.0,19500,551464.0,0,0,446634,2024-09-30
C,23151,69217.0,13000,69217.0,0,0,69217,2022-03-31
C,51152,288403.0,13000,288403.0,0,0,288403,2022-03-31
C,23150,122454.0,13000,122454.0,0,0,122454,2022-03-31
